COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
RAMBRITAN,0.3,0.6,,,0.6,1.1,,2.3,0.3,0.5,0.3,0.9,6.9
AVACADA,,,0.8,1.2,2.7,3.9,1.6,5.0,5.1,3.3,5.6,4.3,33.5
GARMA,,,,,,,,,,,,,0.0
SARDHA,507.4,264.2,149.1,369.6,201.4,185.4,337.1,917.5,797.6,1017.4,1585.3,864.9,7196.9
TOTAL,6422.6,6477.0,4645.9,5129.2,2870.7,3358.7,4977.2,6647.3,5745.5,5777.7,6540.1,4534.7,63126.6
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
POTATO,36237.0,28308.2,25926.9,31100.0,36477.7,39434.3,39807.8,47056.1,40729.6,37517.0,34255.1,35791.2,432640.9
AMLA,178.3,57.2,54.6,22.4,72.7,100.8,364.6,1047.6,1279.2,881.6,846.1,493.6,5398.7
ARVI,2594.0,6719.6,6502.4,3888.1,2898.9,2022.6,946.2,436.0,327.8,473.8,575.1,817.7,28202.2
ARVI LEAES,,0.4,0.5,12.8,25.1,11.1,0.5,,,,,,50.4
AMRAH,,,,1.7,4.0,5.9,0.1,,,,0.3,,12.0
BRINJAL,2042.8,2169.7,1623.9,2197.5,2201.6,2009.6,2101.1,1691.7,1383.2,2194.1,2523.5,2536.4,24675.1
LADY FINGER,3529.9,3052.3,3034.6,2750.7,3250.6,2820.7,1906.2,641.9,1856.1,2818.9,4627.5,6277.9,36567.3
BATHUA,9.5,4.2,,1.4,1.4,5.2,13.5,191.7,470.2,358.0,183.8,30.4,1269.3
BEEN,1668.9,927.8,1057.3,2153.9,1130.4,1267.7,1248.6,1672.2,1394.4,3227.6,4199.8,3160.0,23108.6
BAKLA,0.8,,0.2,,0.2,,0.7,,1.4,2.0,64.9,60.3,130.5
BROKLI,268.8,91.6,20.6,85.4,91.5,177.9,21.3,283.4,369.8,421.5,417.1,305.8,2554.7
CABBAGE,3003.2,3384.8,4736.4,4214.1,3279.9,3035.5,3135.2,4893.7,4178.7,3195.8,2283.9,1910.0,41251.2
CHUKANDAR,513.9,626.6,410.3,591.3,853.8,1281.0,1062.7,1169.7,1224.6,1244.8,1353.8,700.8,11033.3
CHHOLIA PLANT,56.3,0.3,0.5,,,,,,1.4,0.3,313.0,1481.5,1853.3
CHHOLIA DANA,52.4,,,,,,,,46.5,250.2,328.9,183.3,861.3
CHHOLIA LEAVES,1.0,0.3,0.6,,,,,,1.7,0.2,0.6,,4.4
CHOLAI,50.7,106.6,117.1,121.5,102.4,69.3,32.7,20.0,12.9,9.0,9.6,12.6,664.4
CHONGA,,,,,,,,,,,,,0.0
CHIRCHINDA,2.1,15.5,16.1,67.8,125.6,70.9,14.0,4.0,8.0,,3.3,1.7,329.0
CUCUMBER,6621.3,13306.5,9800.9,7495.2,5686.5,5655.1,4908.5,5107.8,4689.4,8078.7,9712.0,8327.9,89389.8
M.CHILLI,9776.6,7603.1,7060.7,5835.1,5986.6,9069.1,8355.3,9081.3,11315.0,12450.7,12418.3,15929.7,114881.5
CARROTS,2855.6,1656.4,1304.6,1512.8,1813.1,2155.4,2007.4,12334.1,13735.3,15105.9,11695.1,3769.2,69944.9
CARROTS (B),2.5,,,,,,,1.0,25.0,52.5,44.3,35.8,161.1
CAULIFLOWER,2732.0,2410.1,4875.7,8879.8,4753.5,6173.8,6662.4,5166.0,5132.2,6351.5,4225.5,4327.8,61690.3
G.GOBHI,0.4,0.4,,,,0.2,5.0,8.7,7.4,11.4,7.5,3.0,44.0
GARLIC (G),,6.5,1.2,1.2,0.4,3.4,,,22.4,34.6,25.0,6.9,101.6
GARLIC,3729.6,3031.9,2647.2,3005.8,2641.1,2424.0,2261.7,2651.3,2809.6,3095.2,5651.5,6034.5,39983.4
M.GINGER,5327.0,4283.3,3611.7,3887.2,6098.6,7910.3,9211.0,11538.0,11954.2,13333.0,10966.2,9710.8,97831.3
GALGAL,,,,,,17.6,288.7,32.9,15.8,6.6,0.4,,362.0
GAWAR,512.9,787.2,583.4,845.3,501.0,892.2,448.0,150.1,2.7,130.3,262.5,386.8,5502.4
G.CORRINDER,1863.5,2372.6,2584.0,1373.7,896.9,762.8,1601.6,2711.3,2409.1,1984.8,1920.8,2167.7,22648.8
GARMA,,,,,,,,,,,,,0.0
GOURD,5211.1,3126.6,2520.7,3095.5,3424.1,3279.4,2083.0,1560.3,2699.5,3129.7,3199.9,7984.8,41314.6
JIMIKAND,599.0,171.3,151.1,589.9,1423.4,1260.8,1884.8,940.8,1090.7,1038.4,823.4,596.2,10569.8
YAM POTATO,9.2,,,97.3,379.0,436.6,118.1,54.6,8.6,8.5,4.0,,1115.9
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
KACHNAR,,,,,,,,,,,,,0.0
KACHALU,21.8,3.7,1.2,91.1,153.0,274.5,75.3,41.5,40.5,20.4,30.2,9.2,762.4
B.GOURD,1857.9,1581.1,1376.9,1634.2,1215.9,1784.2,912.5,593.0,908.5,1062.0,1379.2,1769.1,16074.5
KATHAL,4467.0,5101.6,2690.7,1730.3,570.3,299.1,89.1,601.9,1028.4,2098.8,3788.8,3316.5,25782.5
KACHRI,,250.5,130.6,139.6,9.6,91.0,90.0,4.6,,,,,715.9
KAKRI,621.1,329.7,69.7,5.2,13.1,6.3,17.1,2.7,21.6,2.2,38.5,429.7,1556.9
KAMALKAKRI,214.1,149.8,282.8,515.0,485.2,532.7,437.8,336.5,234.7,267.6,273.6,141.3,3871.1
KAMRACK,1.7,,,0.1,1.3,6.1,14.3,5.4,6.7,4.9,3.3,,43.8
KULFA,4.2,3.6,0.2,,,,,0.2,,,,4.2,12.4
KARONDA,1.8,0.2,0.5,49.0,81.0,74.9,23.7,0.1,0.5,,,,231.7
KUNDRU,1076.6,1393.5,1355.9,2113.2,2502.1,1693.1,596.2,179.9,176.6,53.3,117.9,307.0,11565.3
KHATTA,2.4,4.4,8.2,1.8,2.8,,0.4,0.5,,25.7,9.2,2.8,58.2
KASERU,3.6,,,,0.2,0.2,,,,1.3,,,5.3
KAKORA,7.9,32.5,92.7,206.3,382.2,481.5,187.8,3.0,5.2,0.1,,7.4,1406.6
G.LOBHIYA,2.0,180.8,245.7,137.8,145.5,87.1,87.5,22.5,1.7,7.0,0.4,2.9,920.9
LEHSUA,4.1,29.7,2.7,1.8,0.2,,,1.4,,,,0.1,40.0
LEMON,7232.7,9760.2,8435.1,6627.5,5826.6,4847.0,4031.8,4603.2,3560.4,3946.1,5076.8,4704.7,68652.1
LANKU,2.0,3.0,,,,,,,1.1,8.8,5.3,17.8,38.0
MINT,185.3,154.5,145.9,122.8,110.6,78.7,75.7,63.1,76.3,84.6,125.8,172.2,1395.5
METHI,108.3,7.7,3.6,3.8,0.6,24.4,421.0,513.1,479.0,533.9,475.3,326.8,2897.5
MONGRA,0.1,,,,,,11.7,35.2,36.2,49.6,33.5,,166.3
MANGO KERI,1102.4,2954.3,3182.9,668.5,57.1,29.9,34.7,18.4,5.4,8.8,96.6,136.9,8295.9
MUSHROOM,461.1,517.9,457.4,442.3,475.2,414.6,387.2,788.9,1388.2,1481.9,1318.8,635.5,8769.0
G.ONION,116.1,78.8,80.6,59.1,91.4,160.1,507.6,613.2,465.1,351.5,195.7,174.7,2893.9
ONION,27862.1,31320.3,29394.4,27659.5,29782.3,25055.3,22434.0,26758.5,23925.4,21865.0,21298.7,25546.4,312901.9
PEAS,2143.9,1438.1,1371.4,1401.0,1820.2,925.7,945.0,3155.3,6523.2,7925.3,6131.9,5065.5,38846.5
PERMAL,2631.5,3227.7,3541.5,2946.8,3229.4,3243.5,1437.8,531.4,226.4,14.3,9.6,252.9,21292.8
PHUEE,,2.4,4.4,4.4,7.4,10.1,8.2,2.3,1.4,0.2,,,40.8
PUMPKIN,4827.3,2046.1,2057.9,2468.4,2278.8,2789.7,2211.2,2077.7,2078.6,2851.1,3809.6,5257.0,34753.4
S.PETHA,108.8,83.3,46.2,120.7,103.5,138.0,186.9,70.3,57.9,125.5,96.9,75.4,1213.4
SPINACH,1234.3,1011.0,899.3,1163.1,1098.2,1036.9,1952.1,1398.1,1290.0,1286.0,1342.2,1112.7,14823.9
RADISH,850.6,505.7,317.8,453.3,750.9,1190.1,2991.6,3491.2,2647.6,2455.9,2503.6,1515.9,19674.2
CAPSICUM,2289.6,2230.4,2533.1,2671.0,5406.6,6336.0,4700.5,5208.1,4321.2,4232.1,3724.9,4531.4,48184.9
SALAD,246.8,189.6,129.3,181.1,93.3,48.7,45.2,67.4,45.6,32.1,61.6,47.2,1187.9
SAIM,634.4,57.1,1.8,0.3,1.6,22.9,490.5,977.2,843.0,531.1,571.2,259.6,4390.7
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
SARSON,7.9,1.7,2.6,0.2,0.9,24.9,299.9,329.7,334.0,398.2,278.4,46.9,1725.3
SINGRA,,,,,,1.8,0.3,,,,0.7,1.5,4.3
SINGHI,446.2,132.5,98.7,80.9,78.9,75.1,49.3,7.4,7.5,11.0,66.2,158.1,1211.8
SINGRI,1.0,,,0.3,0.2,,,,,,0.1,1.4,3.0
SWANPHALI,21.1,0.8,0.4,,,,,5.0,5.5,0.2,1.4,2.2,36.6
SWANPLANT,8.5,,,,,,,29.9,181.6,219.4,146.8,19.6,605.8
SWANFLOWER,0.2,,,,,,,2.4,5.4,,,0.2,8.2
SOYA,,,,,0.2,1.9,15.0,25.8,20.4,11.3,10.8,2.0,87.4
S.POTATO,256.6,129.3,59.6,58.5,145.0,532.5,1731.3,3467.3,4731.2,4540.5,2100.9,371.0,18123.7
TOMATO,15174.1,11648.1,11296.0,13201.3,15207.3,14839.9,14151.8,14913.1,17007.6,17068.7,16754.1,17675.5,178937.5
TINDA,407.2,1376.6,918.3,797.5,1236.6,811.4,549.1,106.1,11.5,1.5,15.0,93.3,6324.1
TINDA.C,173.0,2.6,,6.2,0.3,,,,29.4,50.0,140.1,364.7,766.3
TORI,620.9,1983.8,1838.0,1792.4,1508.7,1423.9,747.2,150.9,248.8,269.9,417.8,449.2,11451.5
TURNIP,1.0,1.4,,,0.2,1.3,22.0,125.0,238.4,234.8,243.1,116.7,983.9
TEET,0.1,,,3.1,4.1,,,,,,,,7.3
BABYCORN,40.0,39.3,48.4,29.4,39.3,55.4,35.2,41.5,17.0,19.7,31.7,22.7,419.6
G.TURMERIC,16.4,13.6,13.1,12.8,9.4,19.9,59.5,68.1,115.2,90.3,92.0,51.4,561.7
JUGNI,67.6,73.8,5.8,55.2,34.5,14.5,55.2,171.4,192.2,164.7,263.8,270.2,1368.9
R.BANANA,392.2,390.6,301.3,933.6,1188.3,681.8,415.0,294.5,325.5,370.8,266.5,402.4,5962.5
M.GREEN,342.5,896.3,2280.6,3813.8,3354.2,1681.9,737.9,1068.9,1373.4,1174.4,1144.5,739.6,18608.0
ICEBERG,12.1,0.9,,10.0,31.0,9.6,2.5,6.1,17.0,30.0,26.5,27.4,173.1
SWEET SAAG,,,,,,,,,,,,,0.0
LEMON GRASS,,,0.2,0.5,0.9,,,0.1,,,,0.7,2.4
IMLI,,,,,,,,,,,,,0.0
FENAL ROOT,,,,,,,,0.1,,,,,0.1
C.TOMATO,,0.1,2.3,,,,,,,0.4,,1.0,3.8
TOTAL,167762.4,165561.6,154368.9,158242.1,163656.1,164211.3,154766.3,183425.3,184460.4,193389.5,187462.2,189684.8,2066990.9
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
ALMOND,,283.7,455.1,73.1,26.0,,,,,,,,837.9
APPLE,18778.3,15775.2,6090.7,20881.6,71632.9,102661.2,142544.2,88362.1,66267.9,50911.6,44381.2,20541.9,648828.8
APRICOT,,181.7,77.3,163.0,56.1,3.3,,,,,2.2,,483.6
GUAVA,492.2,359.5,81.2,276.7,1190.9,1046.1,966.9,5269.0,8791.7,9375.6,3231.3,511.6,31592.7
POMRGRANATE,15630.0,10982.0,5995.0,6913.5,9000.8,8975.1,7988.1,9485.6,13294.1,13465.0,10026.2,7286.2,119041.6
BANANA,3068.1,2456.7,2227.5,969.9,898.5,2044.9,1654.7,790.5,402.5,414.2,523.4,667.1,16118.0
B.GOSHA,,2.0,145.1,7850.7,14953.0,4396.6,305.7,14.3,3.0,22.1,19.8,,27712.3
BELGIRI,1320.1,1506.1,647.0,113.2,,,0.8,,2.6,,19.0,97.3,3706.1
BER,25.6,1.4,,,4.8,,11.2,238.0,1058.0,2574.1,3835.8,450.5,8199.4
BER(RED),9.9,0.3,0.9,4.3,6.3,7.4,3.1,40.1,61.0,59.4,45.2,0.6,238.5
CHERRY,8.7,568.1,995.8,248.8,25.8,0.6,0.1,9.9,15.8,17.5,8.7,,1899.8
COCONUT,3577.5,2873.2,2919.0,4527.6,4106.2,7014.5,4842.3,1881.5,1334.2,1751.4,2700.1,3532.7,41060.2
G.COCONUT,11787.7,10886.0,9980.5,12973.3,13352.3,19306.9,17768.7,13051.3,4833.5,3525.3,8985.1,8757.1,135207.7
CHAKOTRA,2.5,0.5,1.0,0.6,7.4,52.2,417.9,54.0,0.4,0.6,3.2,3.5,543.8
C.APPLE,,,,4.1,55.6,95.6,1357.8,935.8,132.1,6.8,1.7,0.3,2589.8
SAPOTA,11823.2,5438.2,866.8,337.6,936.0,1483.5,1008.3,1180.2,6228.0,7932.9,6808.2,6236.2,50279.1
DATE,1946.8,2090.5,319.0,230.0,436.6,352.6,919.6,1497.8,2616.7,1740.3,1158.3,746.6,14054.8
FALSA,3.2,147.9,80.7,,,,,0.4,,,,,232.2
GRAPES,8786.2,2740.2,380.2,121.6,208.1,361.0,655.8,1569.4,1800.5,6614.3,9540.1,7731.6,40509.0
GRAY FRUIT,,,,,1.7,,,,,0.4,,,2.1
JAMUN,48.6,114.9,719.0,2402.8,95.3,,,,,,,1.5,3382.1
JAPANI PHAL,,,,,,2.8,30.5,42.4,18.8,,,,94.5
KHIRNI,,,,,,,,,,,,,0.0
KINNOO,85.9,4.6,,,108.2,4823.2,8338.6,9556.5,11156.2,11332.1,10873.8,2377.8,58656.9
KIWI,1002.4,832.5,758.2,1001.2,823.9,1211.3,1492.8,2016.5,982.4,1027.0,1044.8,801.4,12994.4
LOQUATE,307.3,1.6,,,,,,,,,,12.0,320.9
LITCHI,2.7,5094.4,7144.4,667.5,1.1,0.4,4.2,4.1,1.7,3.6,3.0,0.3,12927.4
MALTA,579.6,721.7,599.0,394.9,275.3,787.9,2258.5,979.9,139.0,134.0,161.3,146.2,7177.3
MITHA,,,,2.6,95.8,136.6,27.7,,,,,,262.7
MANGO,19025.3,34152.5,43024.3,54909.9,17129.1,593.7,212.4,161.4,23.0,68.6,422.7,1950.7,171673.6
MANGO ST,0.4,0.5,19.5,,,0.3,0.3,0.2,0.7,11.8,0.1,,33.8
MELON,13454.6,15716.8,15523.4,1264.0,500.7,871.2,1442.4,2018.1,841.2,1777.3,2084.3,1896.4,57390.4
MULBERRY,,0.2,,,0.1,0.1,,0.1,1.2,1.3,1.3,,4.3
MOSAMBI,15379.8,19276.2,19026.3,27221.1,32108.5,21722.3,5394.0,1062.1,900.0,1721.1,6617.6,9799.9,160228.9
NAKH,,,6.1,104.2,141.7,239.7,105.1,128.8,1.9,,4.4,,731.9
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
ORANGE,5979.8,415.6,152.4,156.4,133.2,1736.6,6481.5,8173.2,5760.7,5211.5,12208.2,12505.6,58914.7
PEARS,390.8,445.6,567.8,7835.2,9616.6,1171.3,452.6,370.9,215.5,228.7,163.4,245.9,21704.3
PEACH,117.7,798.0,2416.4,1367.7,58.5,1.4,0.1,12.2,17.3,63.3,2.5,4.2,4859.3
PAPAYA,7580.9,7712.4,4924.9,5261.0,4571.8,4137.1,3222.5,3470.2,4130.5,5359.2,6304.9,7833.0,64508.4
PINE APPLE,7549.5,7641.1,6349.2,6606.4,5703.4,6209.0,6157.4,5621.2,2766.7,3687.7,4201.2,3464.4,65957.2
PLUM,36.0,458.1,3526.4,7772.0,4881.4,285.8,175.3,187.0,50.0,90.0,57.5,14.7,17534.2
RASBERRY,54.7,,,,,,,0.1,10.4,81.5,369.1,290.0,805.8
SUGARCANE,2611.5,2440.2,2047.9,1269.4,809.8,784.8,955.4,698.6,236.0,312.9,850.7,688.1,13705.3
STRAWBERRY,68.3,2.8,,,,,,38.7,101.4,283.5,554.7,350.5,1399.9
SARDA,507.4,264.2,149.1,369.6,201.4,185.4,337.1,917.5,797.6,1017.4,1585.3,864.9,7196.9
WATER C.N.,,,,,,796.4,5611.0,2942.4,126.3,,,0.1,9476.2
WATERMELON,20128.3,37426.7,17385.1,4999.2,2729.3,3506.2,3890.9,5697.3,2756.8,4547.6,7341.9,8580.0,118989.3
WALLNUT,,,,,,,,,,,,,0.0
ASPERAGUS,3.5,2.6,3.2,2.6,2.9,3.1,5.4,3.9,3.6,2.6,2.0,1.2,36.6
IMLI,22.8,12.6,0.6,11.1,4.1,4.9,18.7,31.4,2.2,64.8,28.3,17.4,218.9
SHANDONG,,,,,,,,,,,0.3,,0.3
YAPEAR,,,,,,,,,,,,,0.0
DRAGAN,91.9,62.3,8.8,44.3,50.0,89.0,132.2,291.8,214.4,339.2,234.2,179.4,1737.5
RAMBRITAN,0.3,0.6,,,0.6,1.1,,2.3,0.3,0.5,0.3,0.9,6.9
LAMBODANA,6.4,5.4,5.4,4.8,3.6,5.3,6.8,5.0,4.7,4.6,4.3,1.2,57.5
AVACADA,4.2,1.3,3.2,3.3,2.7,3.9,1.6,5.0,5.1,3.3,5.6,4.3,43.5
KERREN,,0.6,,,,,,,,,,,0.6
FIG,1.6,0.2,0.1,,0.2,,1.1,2.4,1.7,2.7,2.2,1.2,13.4
BLUE BERRY,,,,,,,,,,,,,0.0
RAMPHAL,,,,,,,,,,,,,0.0
TOTAL,172302.2,189899.4,155623.5,179360.8,196948.2,197112.3,227201.3,168821.1,138109.3,135789.3,146419.4,108596.4,2016183.2
